GUCI;TitleVONDELHABAND_-NAT00Z04Y2N;Halsbandparkieten in het voorjaar in het Vondelpark
060102_1_BOKL-NAT00Z02H20;Boomklever roept en zoekt voedsel
020102_2_BOBE-NAT00Z02H0C;Bontbekplevier op schor
070201_2_GRLI-NAT00Z02H2G;Groenling op rozenbottels
000211_2_TAPU-NAT00Z02GZN;Tapuit in winterkleed
3010_4_REIGER-NAT00Z02H6C;Een blauwe reiger foerageert in een plas tijdens een regenbui
0000GRAUWGORS-NAT00Z03NPO;Zingende grauwe gors met ondergaande zon
0000GEKRROODS-NAT00Z03NPD;Gekraagde roodstaart
0000BUIZERD00-NAT00Z03NOR;Buizerd met prooi
0000BONTEVLIE-NAT00Z03NOD;Bonte vliegenvanger
0000GRMANTELM-NAT00Z03NPZ;Grote mantelmeeuw eet steenloper
0001KOLGANS00-NAT00Z03NWP;Grazende kolganzen
0000LEPELAAR0-NAT00Z03NRW;Poetsende lepelaars
0000KNOBZWAAN-NAT00Z03NRB;Knobbelzwaan met jongen
0000ROODKKLAU-NAT00Z03NT3;Roodkopklauwier in struiken
0000ROEK00000-NAT00Z03NSW;Zittende roek
0000WATERPIEP-NAT00Z03NU8;Foeragerende waterpieper
KOLGANZENINHE-NAT00Z056HK;Kolganzen in het water
114A_2_REIGER-NAT00Z00UE7;Blauwe reiger vangt kikker
350A_3_KLUUTC-NAT00Z012WY;Kluut zoekt eten in laag water
675A_3_SEISJE-NAT00Z01NKO;Sijs op tak
EP06015_3_VOG-NAT00Z01NB3;Winterkoninkje en fitis
060502_1_ROBO-NAT00Z02H28;Roodborst op bevroren sloot en zingend in boom
100202_1_MEKO-NAT00Z02H4S;Meerkoet in de stad
0002BONTBEKPL-NAT00Z03NYU;Poetsende bontbekplevier
0000KLRIETGAN-NAT00Z03NR2;Kleine rietgans in de sneeuw
0000KUIFEEND0-NAT00Z03NRQ;Paartje kuifeenden zittend
0217_5_ZANGLI-NAT00Z00TQI;Zanglijster
117A_4_BUIZER-NAT00Z00TV5;Buizerd op paal
547A_2_HEGMUS-NAT00Z013MR;Heggenmus
0000GRGELEKWI-NAT00Z03NPV;Grote gele kwikstaart op tak
0003PURPERREI-NAT00Z03O10;Puperreigers in kolonie
BUITENGEWO_24-NAT00Z05784;Oeverzwaluw
041304_2_KUIF-NAT00Z02H1N;Kuifeend in sloot en randmeer
0001EUROKANAR-NAT00Z03NVQ;Europese kanarie
0000RODEWOUW0-NAT00Z03NSV;Zittende en vliegende rode wouw
353A_4_KLUUTW-NAT00Z012X8;Kluut zoekt eten in laag water
980603_1_ZOMT-NAT00Z02H8Z;Zomertaling foeragerend
0001KLRIETGAN-NAT00Z03NWK;Grazende kleine rietganzen
0000PURPERREI-NAT00Z03NSM;Purperreiger juveniel
610A_8_ROVOVL-NAT00Z00W6C;Vliegende sperwer met prooi
609A_2_ROBORS-NAT00Z00W8U;Jong roodborstje
EP06086_5_MER-NAT00Z01NFG;Merel in besneeuwde boom
1712_2_SNEEUW-NAT00Z02AS7;Gallowayrunderen tijdens een sneeuwbui in de uiterwaarden
070201_9_HUMU-NAT00Z02H2N;Huismus, paring en jongen voeden
0000KANOET000-NAT00Z03NQN;Foeragerende kanoet
